RIC,Date,Name,ISIN Code,TRBC Industry Group Name
NOKIA.HE,2021-12-31,NOKIA ORD,FI0009000681,Communications & Networking
FORTUM.HE,2021-12-31,FORTUM ORD,FI0009007132,Electric Utilities & IPPs
WRT1V.HE,2021-12-31,WARTSILA ORD,FI0009003727,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
NDAFI.HE,2021-12-31,NORDEA BANK ABP ORD,FI4000297767,Banking Services
ELISA.HE,2021-12-31,ELISA ORD,FI0009007884,Telecommunications Services
UPM.HE,2021-12-31,UPM-KYMMENE OY ORD,FI0009005987,Paper & Forest Products
TIETO.HE,2021-12-31,TIETOENATOR ORD,FI0009000277,Software & IT Services
KCRA.HE,2021-12-31,KONECRANES OYJ ORD,FI0009005870,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
HUH1V.HE,2021-12-31,HUHTAMAKI SR I ORD,FI0009000459,Containers & Packaging
KESKOB.HE,2021-12-31,KESKO ORD,FI0009000202,Food & Drug Retailing
OUT1V.HE,2022-12-31,OUTOKUMPU OYJ ORD,FI0009002422,Metals & Mining
TYRES.HE,2022-12-31,NOKIAN TYRES PLC ORD,FI0009005318,Automobiles & Auto Parts
TOKMAN.HE,2022-12-31,TOKMANNI GROUP CORPORATION ORD SHS,FI4000197934,Diversified Retail
VALMT.HE,2022-12-31,VALMET CORP,FI4000074984,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
KNEBV.HE,2022-12-31,KONE ORD,FI0009013403,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
HIAB.HE,2022-12-31,CARGOTEC ORD,FI4000571013,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
TELIA1.HE,2022-12-31,TELIA CO AB ORD,SE0000667925,Telecommunications Services
KOJAMO.HE,2022-12-31,KOJAMO OYJ ORD,FI4000312251,Real Estate Operations
ORNBV.HE,2022-12-31,ORION ORD,FI0009014377,Pharmaceuticals
NESTE.HE,2022-12-31,NESTE OYJ ORD,FI0009013296,Oil & Gas
METSO.HE,2022-12-31,METSO OUTOTEC CORPORATION ORD,FI0009014575,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
QTCOM.HE,2022-12-31,QT GROUP ORD,FI4000198031,Software & IT Services
STERV.HE,2022-12-31,STORA ENSO R ORD,FI0009005961,Containers & Packaging
SAMPO.HE,2022-12-31,SAMPO PLC ORD,FI4000552500,Insurance
NOKIA.HE,2022-12-31,NOKIA ORD,FI0009000681,Communications & Networking
FORTUM.HE,2022-12-31,FORTUM ORD,FI0009007132,Electric Utilities & IPPs
WRT1V.HE,2022-12-31,WARTSILA ORD,FI0009003727,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
NDAFI.HE,2022-12-31,NORDEA BANK ABP ORD,FI4000297767,Banking Services
ELISA.HE,2022-12-31,ELISA ORD,FI0009007884,Telecommunications Services
UPM.HE,2022-12-31,UPM-KYMMENE OY ORD,FI0009005987,Paper & Forest Products
TIETO.HE,2022-12-31,TIETOENATOR ORD,FI0009000277,Software & IT Services
SSABBH.HE,2022-12-31,SSAB ORD,SE0000120669,Metals & Mining
KCRA.HE,2022-12-31,KONECRANES OYJ ORD,FI0009005870,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
HUH1V.HE,2022-12-31,HUHTAMAKI SR I ORD,FI0009000459,Containers & Packaging
KESKOB.HE,2022-12-31,KESKO ORD,FI0009000202,Food & Drug Retailing
OUT1V.HE,2023-12-31,OUTOKUMPU OYJ ORD,FI0009002422,Metals & Mining
TYRES.HE,2023-12-31,NOKIAN TYRES PLC ORD,FI0009005318,Automobiles & Auto Parts
VALMT.HE,2023-12-31,VALMET CORP,FI4000074984,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
METSB.HE,2023-12-31,M-REAL ORD,FI0009000665,Containers & Packaging
KNEBV.HE,2023-12-31,KONE ORD,FI0009013403,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
HIAB.HE,2023-12-31,CARGOTEC ORD,FI4000571013,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
TELIA1.HE,2023-12-31,TELIA CO AB ORD,SE0000667925,Telecommunications Services
KOJAMO.HE,2023-12-31,KOJAMO OYJ ORD,FI4000312251,Real Estate Operations
ORNBV.HE,2023-12-31,ORION ORD,FI0009014377,Pharmaceuticals
NESTE.HE,2023-12-31,NESTE OYJ ORD,FI0009013296,Oil & Gas
METSO.HE,2023-12-31,METSO CORP ORD,FI0009014575,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
QTCOM.HE,2023-12-31,QT GROUP ORD,FI4000198031,Software & IT Services
STERV.HE,2023-12-31,STORA ENSO R ORD,FI0009005961,Containers & Packaging
SAMPO.HE,2023-12-31,SAMPO PLC ORD,FI4000552500,Insurance
NOKIA.HE,2023-12-31,NOKIA ORD,FI0009000681,Communications & Networking
FORTUM.HE,2023-12-31,FORTUM ORD,FI0009007132,Electric Utilities & IPPs
WRT1V.HE,2023-12-31,WARTSILA ORD,FI0009003727,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
NDAFI.HE,2023-12-31,NORDEA BANK ABP ORD,FI4000297767,Banking Services
ELISA.HE,2023-12-31,ELISA ORD,FI0009007884,Telecommunications Services
UPM.HE,2023-12-31,UPM-KYMMENE OY ORD,FI0009005987,Paper & Forest Products
TIETO.HE,2023-12-31,TIETOENATOR ORD,FI0009000277,Software & IT Services
SSABBH.HE,2023-12-31,SSAB ORD,SE0000120669,Metals & Mining
KCRA.HE,2023-12-31,KONECRANES OYJ ORD,FI0009005870,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
HUH1V.HE,2023-12-31,HUHTAMAKI SR I ORD,FI0009000459,Containers & Packaging
KESKOB.HE,2023-12-31,KESKO ORD,FI0009000202,Food & Drug Retailing
OUT1V.HE,2024-12-31,OUTOKUMPU OYJ ORD,FI0009002422,Metals & Mining
TYRES.HE,2024-12-31,NOKIAN TYRES PLC ORD,FI0009005318,Automobiles & Auto Parts
VALMT.HE,2024-12-31,VALMET CORP,FI4000074984,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
METSB.HE,2024-12-31,M-REAL ORD,FI0009000665,Containers & Packaging
MANTA.HE,2024-12-31,MANDATUM PLC ORD,FI4000552526,Insurance
KNEBV.HE,2024-12-31,KONE ORD,FI0009013403,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
HIAB.HE,2024-12-31,CARGOTEC ORD,FI4000571013,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
KEMIRA.HE,2024-12-31,KEMIRA OYJ ORD,FI0009004824,Chemicals
KOJAMO.HE,2024-12-31,KOJAMO OYJ ORD,FI4000312251,Real Estate Operations
ORNBV.HE,2024-12-31,ORION ORD,FI0009014377,Pharmaceuticals
NESTE.HE,2024-12-31,NESTE OYJ ORD,FI0009013296,Oil & Gas
METSO.HE,2024-12-31,METSO CORP ORD,FI0009014575,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
QTCOM.HE,2024-12-31,QT GROUP ORD,FI4000198031,Software & IT Services
STERV.HE,2024-12-31,STORA ENSO R ORD,FI0009005961,Containers & Packaging
SAMPO.HE,2024-12-31,SAMPO PLC ORD,FI4000552500,Insurance
NOKIA.HE,2024-12-31,NOKIA ORD,FI0009000681,Communications & Networking
FORTUM.HE,2024-12-31,FORTUM ORD,FI0009007132,Electric Utilities & IPPs
WRT1V.HE,2024-12-31,WARTSILA ORD,FI0009003727,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
NDAFI.HE,2024-12-31,NORDEA BANK ABP ORD,FI4000297767,Banking Services
ELISA.HE,2024-12-31,ELISA ORD,FI0009007884,Telecommunications Services
UPM.HE,2024-12-31,UPM-KYMMENE OY ORD,FI0009005987,Paper & Forest Products
TIETO.HE,2024-12-31,TIETOENATOR ORD,FI0009000277,Software & IT Services
KCRA.HE,2024-12-31,KONECRANES OYJ ORD,FI0009005870,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
HUH1V.HE,2024-12-31,HUHTAMAKI SR I ORD,FI0009000459,Containers & Packaging
KESKOB.HE,2024-12-31,KESKO ORD,FI0009000202,Food & Drug Retailing
TRIA.PA,2019-12-31,TRIGANO ORD,FR0005691656,Leisure Products
CVO.PA,2019-12-31,COVIVIO SA ORD,FR0000064578,Residential & Commercial REITs
RXL.PA,2019-12-31,REXEL ORD,FR0010451203,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
EMEIS.PA,2019-12-31,ORPEA ORD,FR001400NLM4,Healthcare Providers & Services
SEVI.PA^B22,2019-12-31,SUEZ ORD,FR0010613471,Professional & Commercial Services
SGEF.PA,2019-12-31,VINCI ORD,FR0000125486,Construction & Engineering
INGC.PA^K20,2019-12-31,INGENICO GROUP,FR0000125346,Professional & Commercial Services
NEXS.PA,2019-12-31,NEXANS PARIS ORD,FR0000044448,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
LTEN.PA,2019-12-31,ALTEN ORD,FR0000071946,Software & IT Services
VIV.PA,2019-12-31,VIVENDI ORD,FR0000127771,Media & Publishing
IPN.PA,2019-12-31,IPSEN PROMESSES ORD,FR0010259150,Pharmaceuticals
SOIT.PA,2019-12-31,SOITEC SA ORD,FR0013227113,Semiconductors & Semiconductor Equipment
STDM.PA,2019-12-31,STEDIM ORD,FR0013154002,Healthcare Equipment & Supplies
BOLL.PA,2019-12-31,BOLLORE ORD,FR0000039299,Media & Publishing
EDEN.PA,2019-12-31,EDENRED ORD,FR0010908533,Professional & Commercial Services
BNPP.PA,2019-12-31,BNP PARIBAS ORD,FR0000131104,Banking Services
HRMS.PA,2019-12-31,HERMES INTL ORD,FR0000052292,Textiles & Apparel
COFA.PA,2019-12-31,COFACE PROMESSES ORD,FR0010667147,Insurance
DANO.PA,2019-12-31,GROUPE DANONE ORD,FR0000120644,Food & Tobacco
URW.PA,2019-12-31,UNIBAIL-RODAMCO-WESTFIELD ORD,FR0013326246,Residential & Commercial REITs
TKTT.PA,2019-12-31,TARKETT,FR0004188670,Homebuilding & Construction Supplies
PRTP.PA,2019-12-31,KERING SA,FR0000121485,Specialty Retailers
QDT.PA,2019-12-31,QUADIENT ORD,FR0000120560,Software & IT Services
AYV.PA,2019-12-31,ALD INTERNATIONAL SA ORD,FR0013258662,Freight & Logistics Services
BICP.PA,2019-12-31,SOCIETE BIC ORD,FR0000120966,Professional & Commercial Services
ATOS.PA,2019-12-31,ATOS SE ORD,FR001400X2S4,Software & IT Services
ELIOR.PA,2019-12-31,ELIOR GROUP ORD,FR0011950732,Hotels & Entertainment Services
FNAC.PA,2019-12-31,FNAC DARTY ORD,FR0011476928,Specialty Retailers
MICP.PA,2019-12-31,MICHELIN ORD,FR001400AJ45,Automobiles & Auto Parts
SAF.PA,2019-12-31,SAFRAN ORD,FR0000073272,Aerospace & Defense
RCOP.PA,2019-12-31,REMY COINTREAU ORD,FR0000130395,Beverages
DAST.PA,2019-12-31,DASSAULT SYSTEMES ORD,FR0014003TT8,Software & IT Services
ACCP.PA,2019-12-31,ACCOR SA ORD,FR0000120404,Hotels & Entertainment Services
MWDP.PA,2019-12-31,WENDEL ORD,FR0000121204,Investment Holding Companies
ORAN.PA,2019-12-31,ORANGE ORD,FR0000133308,Telecommunications Services
EUFI.PA,2019-12-31,EUROFINS SCIENTIFIC ORD,FR0014000MR3,Biotechnology & Medical Research
EXHO.PA,2019-12-31,SODEXO ORD,FR0000121220,Hotels & Entertainment Services
ENX.PA,2019-12-31,EURONEXT,NL0006294274,Investment Banking & Investment Services
BVI.PA,2019-12-31,BUREAU VERITAS REGISTRE INTL ORD,FR0006174348,Professional & Commercial Services
AIRF.PA,2019-12-31,AIR FRANCE-KLM ORD,FR001400J770,Passenger Transportation Services
AIRP.PA,2019-12-31,AIR LIQUIDE ORD,FR0000120073,Chemicals
SASY.PA,2019-12-31,SANOFI-AVENTIS ORD,FR0000120578,Pharmaceuticals
TFFP.PA,2019-12-31,TF1 ORD,FR0000054900,Media & Publishing
ESLX.PA,2019-12-31,ESSILORLUXOTTICA ORD,FR0000121667,Healthcare Equipment & Supplies
AM.PA,2019-12-31,DASSAULT AVIATI ORD,FR0014004L86,Aerospace & Defense
AMUN.PA,2019-12-31,AMUNDI ORD,FR0004125920,Investment Banking & Investment Services
AIR.PA,2019-12-31,AIRBUS SE,NL0000235190,Aerospace & Defense
AXAF.PA,2019-12-31,AXA ORD,FR0000120628,Insurance
GFCP.PA,2019-12-31,GECINA REIT,FR0010040865,Residential & Commercial REITs
ALTT.PA^D20,2019-12-31,ALTRAN TECHNOLOGIES ORD,FR0000034639,Professional & Commercial Services
MT.AS,2019-12-31,ARCELORMITTAL ORD,LU1598757687,Metals & Mining
ENGIE.PA,2019-12-31,ENGIE ORD,FR0010208488,Multiline Utilities
BOUY.PA,2019-12-31,BOUYGUES ORD,FR0000120503,Construction & Engineering
VLLP.PA,2019-12-31,VALLOUREC ORD,FR0013506730,Oil & Gas Related Equipment and Services
UBIP.PA,2019-12-31,UBISOFT ORD,FR0000054470,Software & IT Services
EDF.PA^F23,2019-12-31,ELECTRICITE DE FRANCE SA,FR0010242511,Multiline Utilities
SEBF.PA,2019-12-31,SEB ORD,FR0000121709,Household Goods
MERY.PA,2019-12-31,MERCIALYS REIT,FR0010241638,Residential & Commercial REITs
CASP.PA,2019-12-31,CASINO ORD,FR001400OKR3,Food & Drug Retailing
SPIE.PA,2019-12-31,SPIE PROMESSES ORD SHS,FR0012757854,Construction & Engineering
PEUP.PA^A21,2019-12-31,PEUGEOT SA ORD,FR0000121501,Automobiles & Auto Parts
GTT.PA,2019-12-31,GTT PROMESSES ORD,FR0011726835,Oil & Gas Related Equipment and Services
FOUG.PA,2019-12-31,EIFFAGE ORD,FR0000130452,Construction & Engineering
VLOF.PA,2019-12-31,VALEO ORD,FR0013176526,Automobiles & Auto Parts
ICAD.PA,2019-12-31,ICADE REIT,FR0000035081,Residential & Commercial REITs
SESFd.PA,2019-12-31,SES SA GDR,LU0088087324,Telecommunications Services
ERMT.PA,2019-12-31,ERAMET ORD,FR0000131757,Metals & Mining
MMTP.PA,2019-12-31,METROPOLE TV ORD,FR0000053225,Media & Publishing
LVMH.PA,2019-12-31,LVMH MOET HENNESSY LOUIS VUITT,FR0000121014,Textiles & Apparel
GNFT.PA,2019-12-31,GENFIT ORD,FR0004163111,Biotechnology & Medical Research
SCHN.PA,2019-12-31,SCHNEIDER ELECTRIC SE,FR0000121972,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
ISOS.PA,2019-12-31,IPSOS ORD,FR0000073298,Media & Publishing
CAGR.PA,2019-12-31,CREDIT AGRICOLE ORD,FR0000045072,Banking Services
SOGN.PA,2019-12-31,SOCIETE GENERALE ORD,FR0000130809,Banking Services
BIOX.PA,2019-12-31,BIOMERIEUX ORD,FR0013280286,Healthcare Equipment & Supplies
NEXI.PA,2019-12-31,NEXITY ORD,FR0010112524,Real Estate Operations
LEGD.PA,2019-12-31,LEGRAND ORD,FR0010307819,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
DBV.PA,2019-12-31,DBV TECHNOLOGIES ORD,FR0010417345,Pharmaceuticals
SGOB.PA,2019-12-31,SAINT-GOBAIN ORD,FR0000125007,Homebuilding & Construction Supplies
ELIS.PA,2019-12-31,ELIS ORD SHS,FR0012435121,Professional & Commercial Services
FRVIA.PA,2019-12-31,FAURECIA SA ORD,FR0000121147,Automobiles & Auto Parts
IMTP.PA,2019-12-31,IMERYS ORD,FR0000120859,Metals & Mining
SOPR.PA,2019-12-31,SOPRA STERIA GROUP,FR0000050809,Software & IT Services
CARR.PA,2019-12-31,CARREFOUR ORD,FR0000120172,Food & Drug Retailing
CNAT.PA^G21,2019-12-31,NATIXIS ORD,FR0000120685,Investment Banking & Investment Services
ILD.PA^J21,2019-12-31,ILIAD ORD,FR0004035913,Telecommunications Services
TTEF.PA,2019-12-31,TOTAL ORD,FR0000120271,Oil & Gas
GETP.PA,2019-12-31,GETLINK ORD,FR0010533075,Transport Infrastructure
RUBF.PA,2019-12-31,RUBIS ORD,FR0013269123,Oil & Gas
JCDX.PA,2019-12-31,JCDECAUX ORD,FR0000077919,Media & Publishing
ETL.PA,2019-12-31,EUTELSAT COMMUNICATIONS ORD,FR0010221234,Telecommunications Services
RENA.PA,2019-12-31,RENAULT PAR,FR0000131906,Automobiles & Auto Parts
PUBP.PA,2019-12-31,PUBLICIS GROUPE ORD,FR0000130577,Media & Publishing
CLARI.PA,2019-12-31,KORIAN ORD,FR0010386334,Healthcare Providers & Services
MDM.PA,2019-12-31,MAISONS DU MONDE SA WI ORD,FR0013153541,Specialty Retailers
LOIM.PA,2019-12-31,KLEPIERRE REIT,FR0000121964,Residential & Commercial REITs
ADP.PA,2019-12-31,AEROPORTS DE PARIS ORD,FR0010340141,Transport Infrastructure
SCOR.PA,2019-12-31,SCOR SE ORD,FR0010411983,Insurance
VCTP.PA,2019-12-31,VICAT SA ORD,FR0000031775,Construction Materials
CNPP.PA^F22,2019-12-31,CNP ASSURANCES ORD,FR0000120222,Insurance
VIRB.PA,2019-12-31,STE VIRBAC SA,FR0000031577,Pharmaceuticals
TEPRF.PA,2019-12-31,TELEPERFORMANCE ORD,FR0000051807,Professional & Commercial Services
VIE.PA,2019-12-31,VEOLIA ENVIRONNEMENT VE ORD,FR0000124141,Multiline Utilities
VRLA.PA,2019-12-31,VERALLIA SASU ORD,FR0013447729,Containers & Packaging
OREP.PA,2019-12-31,L OREAL S.A.,FR0000120321,Personal & Household Products & Services
ALSO.PA,2019-12-31,ALSTOM SA ORD,FR0010220475,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
PERP.PA,2019-12-31,PERNOD-RICARD ORD,FR0000120693,Beverages
OPM.PA,2019-12-31,PLASTIC OMNIUM ORD,FR0000124570,Automobiles & Auto Parts
LAGA.PA,2019-12-31,LAGARDERE SCA ORD,FR0000130213,Media & Publishing
EURA.PA,2019-12-31,EURAZEO ORD,FR0000121121,Investment Banking & Investment Services
STMPA.PA,2019-12-31,STMICROELECTRONICS ORD,NL0000226223,Semiconductors & Semiconductor Equipment
WLN.PA,2019-12-31,WORLDLINE SA,FR0011981968,Financial Technology (Fintech) & Infrastructure
TCFP.PA,2019-12-31,THALES ORD,FR0000121329,Aerospace & Defense
FTI.PA^B22,2019-12-31,TECHNIPFMC LTD ORD,GB00BDSFG982,Oil & Gas Related Equipment and Services
VIRI.PA,2019-12-31,CGG,FR001400PVN6,Oil & Gas Related Equipment and Services
EUCAR.PA^G22,2019-12-31,EUROPCAR MOBILITY GROUP SA ORD,FR0012789949,Passenger Transportation Services
AKE.PA,2019-12-31,ARKEMA ORD,FR0010313833,Chemicals
CAPP.PA,2019-12-31,CAPGEMINI ORD,FR0000125338,Software & IT Services
TRIA.PA,2020-12-31,TRIGANO ORD,FR0005691656,Leisure Products
CVO.PA,2020-12-31,COVIVIO SA ORD,FR0000064578,Residential & Commercial REITs
RXL.PA,2020-12-31,REXEL ORD,FR0010451203,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
EMEIS.PA,2020-12-31,ORPEA ORD,FR001400NLM4,Healthcare Providers & Services
SEVI.PA^B22,2020-12-31,SUEZ ORD,FR0010613471,Professional & Commercial Services
SGEF.PA,2020-12-31,VINCI ORD,FR0000125486,Construction & Engineering
NEXS.PA,2020-12-31,NEXANS PARIS ORD,FR0000044448,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
LTEN.PA,2020-12-31,ALTEN ORD,FR0000071946,Software & IT Services
VIV.PA,2020-12-31,VIVENDI ORD,FR0000127771,Media & Publishing
IPN.PA,2020-12-31,IPSEN PROMESSES ORD,FR0010259150,Pharmaceuticals
SOIT.PA,2020-12-31,SOITEC SA ORD,FR0013227113,Semiconductors & Semiconductor Equipment
STDM.PA,2020-12-31,STEDIM ORD,FR0013154002,Healthcare Equipment & Supplies
BOLL.PA,2020-12-31,BOLLORE ORD,FR0000039299,Media & Publishing
EDEN.PA,2020-12-31,EDENRED ORD,FR0010908533,Professional & Commercial Services
ROBF.PA,2020-12-31,ROBERTET ORD,FR0000039091,Chemicals
BNPP.PA,2020-12-31,BNP PARIBAS ORD,FR0000131104,Banking Services
HRMS.PA,2020-12-31,HERMES INTL ORD,FR0000052292,Textiles & Apparel
COFA.PA,2020-12-31,COFACE PROMESSES ORD,FR0010667147,Insurance
DANO.PA,2020-12-31,GROUPE DANONE ORD,FR0000120644,Food & Tobacco
URW.PA,2020-12-31,UNIBAIL-RODAMCO-WESTFIELD ORD,FR0013326246,Residential & Commercial REITs
PRTP.PA,2020-12-31,KERING SA,FR0000121485,Specialty Retailers
AYV.PA,2020-12-31,ALD INTERNATIONAL SA ORD,FR0013258662,Freight & Logistics Services
BICP.PA,2020-12-31,SOCIETE BIC ORD,FR0000120966,Professional & Commercial Services
ATOS.PA,2020-12-31,ATOS SE ORD,FR001400X2S4,Software & IT Services
ABIO.PA^J22,2020-12-31,ALBIOMA,FR0000060402,Electric Utilities & IPPs
ELIOR.PA,2020-12-31,ELIOR GROUP ORD,FR0011950732,Hotels & Entertainment Services
ALMCP.PA,2020-12-31,MCPHY ENERGY ORD,FR0011742329,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
FNAC.PA,2020-12-31,FNAC DARTY ORD,FR0011476928,Specialty Retailers
MICP.PA,2020-12-31,MICHELIN ORD,FR001400AJ45,Automobiles & Auto Parts
SAF.PA,2020-12-31,SAFRAN ORD,FR0000073272,Aerospace & Defense
RCOP.PA,2020-12-31,REMY COINTREAU ORD,FR0000130395,Beverages
DAST.PA,2020-12-31,DASSAULT SYSTEMES ORD,FR0014003TT8,Software & IT Services
ACCP.PA,2020-12-31,ACCOR SA ORD,FR0000120404,Hotels & Entertainment Services
MWDP.PA,2020-12-31,WENDEL ORD,FR0000121204,Investment Holding Companies
ORAN.PA,2020-12-31,ORANGE ORD,FR0000133308,Telecommunications Services
EUFI.PA,2020-12-31,EUROFINS SCIENTIFIC ORD,FR0014000MR3,Biotechnology & Medical Research
EXHO.PA,2020-12-31,SODEXO ORD,FR0000121220,Hotels & Entertainment Services
ENX.PA,2020-12-31,EURONEXT,NL0006294274,Investment Banking & Investment Services
BVI.PA,2020-12-31,BUREAU VERITAS REGISTRE INTL ORD,FR0006174348,Professional & Commercial Services
AIRF.PA,2020-12-31,AIR FRANCE-KLM ORD,FR001400J770,Passenger Transportation Services
AIRP.PA,2020-12-31,AIR LIQUIDE ORD,FR0000120073,Chemicals
SASY.PA,2020-12-31,SANOFI-AVENTIS ORD,FR0000120578,Pharmaceuticals
TFFP.PA,2020-12-31,TF1 ORD,FR0000054900,Media & Publishing
CARM.PA,2020-12-31,CARMILA ORD,FR0010828137,Residential & Commercial REITs
ESLX.PA,2020-12-31,ESSILORLUXOTTICA ORD,FR0000121667,Healthcare Equipment & Supplies
AM.PA,2020-12-31,DASSAULT AVIATI ORD,FR0014004L86,Aerospace & Defense
AMUN.PA,2020-12-31,AMUNDI ORD,FR0004125920,Investment Banking & Investment Services
AIR.PA,2020-12-31,AIRBUS SE,NL0000235190,Aerospace & Defense
AXAF.PA,2020-12-31,AXA ORD,FR0000120628,Insurance
GFCP.PA,2020-12-31,GECINA REIT,FR0010040865,Residential & Commercial REITs
MT.AS,2020-12-31,ARCELORMITTAL ORD,LU1598757687,Metals & Mining
ENGIE.PA,2020-12-31,ENGIE ORD,FR0010208488,Multiline Utilities
BOUY.PA,2020-12-31,BOUYGUES ORD,FR0000120503,Construction & Engineering
VLLP.PA,2020-12-31,VALLOUREC ORD,FR0013506730,Oil & Gas Related Equipment and Services
UBIP.PA,2020-12-31,UBISOFT ORD,FR0000054470,Software & IT Services
EDF.PA^F23,2020-12-31,ELECTRICITE DE FRANCE SA,FR0010242511,Multiline Utilities
SEBF.PA,2020-12-31,SEB ORD,FR0000121709,Household Goods
MERY.PA,2020-12-31,MERCIALYS REIT,FR0010241638,Residential & Commercial REITs
CASP.PA,2020-12-31,CASINO ORD,FR001400OKR3,Food & Drug Retailing
SPIE.PA,2020-12-31,SPIE PROMESSES ORD SHS,FR0012757854,Construction & Engineering
PEUP.PA^A21,2020-12-31,PEUGEOT SA ORD,FR0000121501,Automobiles & Auto Parts
GTT.PA,2020-12-31,GTT PROMESSES ORD,FR0011726835,Oil & Gas Related Equipment and Services
FOUG.PA,2020-12-31,EIFFAGE ORD,FR0000130452,Construction & Engineering
VLOF.PA,2020-12-31,VALEO ORD,FR0013176526,Automobiles & Auto Parts
ICAD.PA,2020-12-31,ICADE REIT,FR0000035081,Residential & Commercial REITs
SESFd.PA,2020-12-31,SES SA GDR,LU0088087324,Telecommunications Services
ERMT.PA,2020-12-31,ERAMET ORD,FR0000131757,Metals & Mining
MMTP.PA,2020-12-31,METROPOLE TV ORD,FR0000053225,Media & Publishing
LVMH.PA,2020-12-31,LVMH MOET HENNESSY LOUIS VUITT,FR0000121014,Textiles & Apparel
SCHN.PA,2020-12-31,SCHNEIDER ELECTRIC SE,FR0000121972,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
ISOS.PA,2020-12-31,IPSOS ORD,FR0000073298,Media & Publishing
CAGR.PA,2020-12-31,CREDIT AGRICOLE ORD,FR0000045072,Banking Services
SOGN.PA,2020-12-31,SOCIETE GENERALE ORD,FR0000130809,Banking Services
BIOX.PA,2020-12-31,BIOMERIEUX ORD,FR0013280286,Healthcare Equipment & Supplies
NEXI.PA,2020-12-31,NEXITY ORD,FR0010112524,Real Estate Operations
LEGD.PA,2020-12-31,LEGRAND ORD,FR0010307819,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
SGOB.PA,2020-12-31,SAINT-GOBAIN ORD,FR0000125007,Homebuilding & Construction Supplies
ELIS.PA,2020-12-31,ELIS ORD SHS,FR0012435121,Professional & Commercial Services
FRVIA.PA,2020-12-31,FAURECIA SA ORD,FR0000121147,Automobiles & Auto Parts
IMTP.PA,2020-12-31,IMERYS ORD,FR0000120859,Metals & Mining
SOPR.PA,2020-12-31,SOPRA STERIA GROUP,FR0000050809,Software & IT Services
S30.PA,2020-12-31,SOLUTIONS 30 SE,FR0013379484,Software & IT Services
CARR.PA,2020-12-31,CARREFOUR ORD,FR0000120172,Food & Drug Retailing
CNAT.PA^G21,2020-12-31,NATIXIS ORD,FR0000120685,Investment Banking & Investment Services
ILD.PA^J21,2020-12-31,ILIAD ORD,FR0004035913,Telecommunications Services
TTEF.PA,2020-12-31,TOTAL ORD,FR0000120271,Oil & Gas
GETP.PA,2020-12-31,GETLINK ORD,FR0010533075,Transport Infrastructure
RUBF.PA,2020-12-31,RUBIS ORD,FR0013269123,Oil & Gas
JCDX.PA,2020-12-31,JCDECAUX ORD,FR0000077919,Media & Publishing
ETL.PA,2020-12-31,EUTELSAT COMMUNICATIONS ORD,FR0010221234,Telecommunications Services
RENA.PA,2020-12-31,RENAULT PAR,FR0000131906,Automobiles & Auto Parts
PUBP.PA,2020-12-31,PUBLICIS GROUPE ORD,FR0000130577,Media & Publishing
CLARI.PA,2020-12-31,KORIAN ORD,FR0010386334,Healthcare Providers & Services
MDM.PA,2020-12-31,MAISONS DU MONDE SA WI ORD,FR0013153541,Specialty Retailers
LOIM.PA,2020-12-31,KLEPIERRE REIT,FR0000121964,Residential & Commercial REITs
ADP.PA,2020-12-31,AEROPORTS DE PARIS ORD,FR0010340141,Transport Infrastructure
SCOR.PA,2020-12-31,SCOR SE ORD,FR0010411983,Insurance
CNPP.PA^F22,2020-12-31,CNP ASSURANCES ORD,FR0000120222,Insurance
VIRB.PA,2020-12-31,STE VIRBAC SA,FR0000031577,Pharmaceuticals
TEPRF.PA,2020-12-31,TELEPERFORMANCE ORD,FR0000051807,Professional & Commercial Services
KOF.PA,2020-12-31,KAUFMAN AND BROAD ORD,FR0004007813,Homebuilding & Construction Supplies
