,RIC,ISIN Code,TRBC Industry Group Name
490,OREP.PA,FR0000120321,Personal & Household Products & Services
491,FDJU.PA,FR0013451333,Hotels & Entertainment Services
492,NEOEN.PA^D25,FR0011675362,Electric Utilities & IPPs
493,ALSO.PA,FR0010220475,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
494,PERP.PA,FR0000120693,Beverages
495,OPM.PA,FR0000124570,Automobiles & Auto Parts
496,LAGA.PA,FR0000130213,Media & Publishing
497,EURA.PA,FR0000121121,Investment Banking & Investment Services
498,STMPA.PA,NL0000226223,Semiconductors & Semiconductor Equipment
499,WLN.PA,FR0011981968,Financial Technology (Fintech) & Infrastructure
500,TCFP.PA,FR0000121329,Aerospace & Defense
501,FTI.PA^B22,GB00BDSFG982,Oil & Gas Related Equipment and Services
502,VIRI.PA,FR001400PVN6,Oil & Gas Related Equipment and Services
503,EUCAR.PA^G22,FR0012789949,Passenger Transportation Services
504,AKE.PA,FR0010313833,Chemicals
505,CAPP.PA,FR0000125338,Software & IT Services
506,TRIA.PA,FR0005691656,Leisure Products
507,CVO.PA,FR0000064578,Residential & Commercial REITs
508,RXL.PA,FR0010451203,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
509,EMEIS.PA,FR001400NLM4,Healthcare Providers & Services
510,SGEF.PA,FR0000125486,Construction & Engineering
511,NEXS.PA,FR0000044448,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
512,APAM.AS,LU0569974404,Metals & Mining
513,LTEN.PA,FR0000071946,Software & IT Services
514,VIV.PA,FR0000127771,Media & Publishing
515,IPN.PA,FR0010259150,Pharmaceuticals
516,SOIT.PA,FR0013227113,Semiconductors & Semiconductor Equipment
517,STLAM.PA,NL00150001Q9,Automobiles & Auto Parts
518,STDM.PA,FR0013154002,Healthcare Equipment & Supplies
519,BOLL.PA,FR0000039299,Media & Publishing
520,EDEN.PA,FR0010908533,Professional & Commercial Services
521,BNPP.PA,FR0000131104,Banking Services
522,IMAF.PA,FR0000033219,Residential & Commercial REITs
523,HRMS.PA,FR0000052292,Textiles & Apparel
524,COFA.PA,FR0010667147,Insurance
525,DANO.PA,FR0000120644,Food & Tobacco
526,URW.PA,FR0013326246,Residential & Commercial REITs
527,VLS.PA,FR0004056851,Biotechnology & Medical Research
528,PRTP.PA,FR0000121485,Specialty Retailers
529,AYV.PA,FR0013258662,Freight & Logistics Services
530,BICP.PA,FR0000120966,Professional & Commercial Services
531,ATOS.PA,FR001400X2S4,Software & IT Services
532,ELIOR.PA,FR0011950732,Hotels & Entertainment Services
533,ALMCP.PA,FR0011742329,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
534,FNAC.PA,FR0011476928,Specialty Retailers
535,MICP.PA,FR001400AJ45,Automobiles & Auto Parts
536,SAF.PA,FR0000073272,Aerospace & Defense
537,RCOP.PA,FR0000130395,Beverages
538,DAST.PA,FR0014003TT8,Software & IT Services
539,ACCP.PA,FR0000120404,Hotels & Entertainment Services
540,ANTIN.PA,FR0014005AL0,Investment Banking & Investment Services
541,OVH.PA,FR0014005HJ9,Software & IT Services
542,MWDP.PA,FR0000121204,Investment Holding Companies
543,ORAN.PA,FR0000133308,Telecommunications Services
544,EUFI.PA,FR0014000MR3,Biotechnology & Medical Research
545,EXHO.PA,FR0000121220,Hotels & Entertainment Services
546,ENX.PA,NL0006294274,Investment Banking & Investment Services
547,BVI.PA,FR0006174348,Professional & Commercial Services
548,AIRF.PA,FR001400J770,Passenger Transportation Services
549,AIRP.PA,FR0000120073,Chemicals
550,SASY.PA,FR0000120578,Pharmaceuticals
551,TFFP.PA,FR0000054900,Media & Publishing
552,CARM.PA,FR0010828137,Residential & Commercial REITs
553,ESLX.PA,FR0000121667,Healthcare Equipment & Supplies
554,AM.PA,FR0014004L86,Aerospace & Defense
555,AMUN.PA,FR0004125920,Investment Banking & Investment Services
556,AIR.PA,NL0000235190,Aerospace & Defense
557,AXAF.PA,FR0000120628,Insurance
558,GFCP.PA,FR0010040865,Residential & Commercial REITs
559,MT.AS,LU1598757687,Metals & Mining
560,ENGIE.PA,FR0010208488,Multiline Utilities
561,VU.PA,FR0010282822,Electronic Equipment & Parts
562,DBG.PA,FR0000053381,Professional & Commercial Services
563,BOUY.PA,FR0000120503,Construction & Engineering
564,VLLP.PA,FR0013506730,Oil & Gas Related Equipment and Services
565,UBIP.PA,FR0000054470,Software & IT Services
566,EDF.PA^F23,FR0010242511,Multiline Utilities
567,SEBF.PA,FR0000121709,Household Goods
568,MERY.PA,FR0010241638,Residential & Commercial REITs
569,CASP.PA,FR001400OKR3,Food & Drug Retailing
570,SPIE.PA,FR0012757854,Construction & Engineering
571,GTT.PA,FR0011726835,Oil & Gas Related Equipment and Services
572,FOUG.PA,FR0000130452,Construction & Engineering
573,VLOF.PA,FR0013176526,Automobiles & Auto Parts
574,ICAD.PA,FR0000035081,Residential & Commercial REITs
575,SESFd.PA,LU0088087324,Telecommunications Services
576,ERMT.PA,FR0000131757,Metals & Mining
577,MMTP.PA,FR0000053225,Media & Publishing
578,LVMH.PA,FR0000121014,Textiles & Apparel
579,SCHN.PA,FR0000121972,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
580,ISOS.PA,FR0000073298,Media & Publishing
581,CAGR.PA,FR0000045072,Banking Services
582,SOGN.PA,FR0000130809,Banking Services
583,BIOX.PA,FR0013280286,Healthcare Equipment & Supplies
584,NEXI.PA,FR0010112524,Real Estate Operations
585,LEGD.PA,FR0010307819,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
586,SGOB.PA,FR0000125007,Homebuilding & Construction Supplies
587,ELIS.PA,FR0012435121,Professional & Commercial Services
588,FRVIA.PA,FR0000121147,Automobiles & Auto Parts
589,IMTP.PA,FR0000120859,Metals & Mining
590,SOPR.PA,FR0000050809,Software & IT Services
591,S30.PA,FR0013379484,Software & IT Services
592,SOLB.BR,BE0003470755,Chemicals
593,CARR.PA,FR0000120172,Food & Drug Retailing
594,TTEF.PA,FR0000120271,Oil & Gas
595,GETP.PA,FR0010533075,Transport Infrastructure
596,RUBF.PA,FR0013269123,Oil & Gas
597,JCDX.PA,FR0000077919,Media & Publishing
598,ETL.PA,FR0010221234,Telecommunications Services
599,RENA.PA,FR0000131906,Automobiles & Auto Parts
600,PUBP.PA,FR0000130577,Media & Publishing
601,CLARI.PA,FR0010386334,Healthcare Providers & Services
602,LOIM.PA,FR0000121964,Residential & Commercial REITs
603,ADP.PA,FR0010340141,Transport Infrastructure
604,TE.PA,NL0014559478,Oil & Gas Related Equipment and Services
605,IPAR.PA,FR0004024222,Personal & Household Products & Services
606,SCOR.PA,FR0010411983,Insurance
607,DAMA.PA^B23,FR0013199916,Homebuilding & Construction Supplies
608,VIRB.PA,FR0000031577,Pharmaceuticals
609,TEPRF.PA,FR0000051807,Professional & Commercial Services
610,VIE.PA,FR0000124141,Multiline Utilities
611,VRLA.PA,FR0013447729,Containers & Packaging
612,OREP.PA,FR0000120321,Personal & Household Products & Services
613,FDJU.PA,FR0013451333,Hotels & Entertainment Services
614,NEOEN.PA^D25,FR0011675362,Electric Utilities & IPPs
615,ALSO.PA,FR0010220475,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
616,PERP.PA,FR0000120693,Beverages
617,OPM.PA,FR0000124570,Automobiles & Auto Parts
618,EURA.PA,FR0000121121,Investment Banking & Investment Services
619,STMPA.PA,NL0000226223,Semiconductors & Semiconductor Equipment
620,WLN.PA,FR0011981968,Financial Technology (Fintech) & Infrastructure
621,TCFP.PA,FR0000121329,Aerospace & Defense
622,VIRI.PA,FR001400PVN6,Oil & Gas Related Equipment and Services
623,EAPI.PA,FR0014008VX5,Pharmaceuticals
624,AKE.PA,FR0010313833,Chemicals
625,CAPP.PA,FR0000125338,Software & IT Services
626,TRIA.PA,FR0005691656,Leisure Products
627,CVO.PA,FR0000064578,Residential & Commercial REITs
628,RXL.PA,FR0010451203,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
629,CBLP.PA,FR0000039620,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
630,EMEIS.PA,FR001400NLM4,Healthcare Providers & Services
631,SGEF.PA,FR0000125486,Construction & Engineering
632,URW.PA,FR0013326246,Residential & Commercial REITs
633,NEXS.PA,FR0000044448,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
634,APAM.AS,LU0569974404,Metals & Mining
635,LTEN.PA,FR0000071946,Software & IT Services
636,VIV.PA,FR0000127771,Media & Publishing
637,IPN.PA,FR0010259150,Pharmaceuticals
638,SOIT.PA,FR0013227113,Semiconductors & Semiconductor Equipment
639,STLAM.PA,NL00150001Q9,Automobiles & Auto Parts
640,STDM.PA,FR0013154002,Healthcare Equipment & Supplies
641,BOLL.PA,FR0000039299,Media & Publishing
642,EDEN.PA,FR0010908533,Professional & Commercial Services
643,BNPP.PA,FR0000131104,Banking Services
644,HRMS.PA,FR0000052292,Textiles & Apparel
645,COFA.PA,FR0010667147,Insurance
646,DANO.PA,FR0000120644,Food & Tobacco
647,VLS.PA,FR0004056851,Biotechnology & Medical Research
648,PRTP.PA,FR0000121485,Specialty Retailers
649,AYV.PA,FR0013258662,Freight & Logistics Services
650,BICP.PA,FR0000120966,Professional & Commercial Services
651,ATOS.PA,FR001400X2S4,Software & IT Services
652,ELIOR.PA,FR0011950732,Hotels & Entertainment Services
653,FNAC.PA,FR0011476928,Specialty Retailers
654,MICP.PA,FR001400AJ45,Automobiles & Auto Parts
655,SAF.PA,FR0000073272,Aerospace & Defense
656,RCOP.PA,FR0000130395,Beverages
657,DAST.PA,FR0014003TT8,Software & IT Services
658,ACCP.PA,FR0000120404,Hotels & Entertainment Services
659,MWDP.PA,FR0000121204,Investment Holding Companies
660,ORAN.PA,FR0000133308,Telecommunications Services
661,IDLA.PA,FR0010929125,Freight & Logistics Services
662,EUFI.PA,FR0014000MR3,Biotechnology & Medical Research
663,EXHO.PA,FR0000121220,Hotels & Entertainment Services
664,ENX.PA,NL0006294274,Investment Banking & Investment Services
665,BVI.PA,FR0006174348,Professional & Commercial Services
666,AIRF.PA,FR001400J770,Passenger Transportation Services
667,AIRP.PA,FR0000120073,Chemicals
668,SASY.PA,FR0000120578,Pharmaceuticals
669,TFFP.PA,FR0000054900,Media & Publishing
670,CARM.PA,FR0010828137,Residential & Commercial REITs
671,ESLX.PA,FR0000121667,Healthcare Equipment & Supplies
672,AM.PA,FR0014004L86,Aerospace & Defense
673,AMUN.PA,FR0004125920,Investment Banking & Investment Services
674,AIR.PA,NL0000235190,Aerospace & Defense
675,AXAF.PA,FR0000120628,Insurance
676,GFCP.PA,FR0010040865,Residential & Commercial REITs
677,MT.AS,LU1598757687,Metals & Mining
678,ENGIE.PA,FR0010208488,Multiline Utilities
679,VU.PA,FR0010282822,Electronic Equipment & Parts
680,DBG.PA,FR0000053381,Professional & Commercial Services
681,BOUY.PA,FR0000120503,Construction & Engineering
682,VLLP.PA,FR0013506730,Oil & Gas Related Equipment and Services
683,UBIP.PA,FR0000054470,Software & IT Services
684,SEBF.PA,FR0000121709,Household Goods
685,MERY.PA,FR0010241638,Residential & Commercial REITs
686,SPIE.PA,FR0012757854,Construction & Engineering
687,GTT.PA,FR0011726835,Oil & Gas Related Equipment and Services
688,FOUG.PA,FR0000130452,Construction & Engineering
689,VLOF.PA,FR0013176526,Automobiles & Auto Parts
690,ICAD.PA,FR0000035081,Residential & Commercial REITs
691,SESFd.PA,LU0088087324,Telecommunications Services
692,ERMT.PA,FR0000131757,Metals & Mining
693,MMTP.PA,FR0000053225,Media & Publishing
694,LVMH.PA,FR0000121014,Textiles & Apparel
695,SCHN.PA,FR0000121972,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
696,ISOS.PA,FR0000073298,Media & Publishing
697,CAGR.PA,FR0000045072,Banking Services
698,SOGN.PA,FR0000130809,Banking Services
699,BIOX.PA,FR0013280286,Healthcare Equipment & Supplies
700,NEXI.PA,FR0010112524,Real Estate Operations
701,LEGD.PA,FR0010307819,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
702,SGOB.PA,FR0000125007,Homebuilding & Construction Supplies
703,ELIS.PA,FR0012435121,Professional & Commercial Services
704,FRVIA.PA,FR0000121147,Automobiles & Auto Parts
705,IMTP.PA,FR0000120859,Metals & Mining
706,SOPR.PA,FR0000050809,Software & IT Services
707,S30.PA,FR0013379484,Software & IT Services
708,SOLB.BR,BE0003470755,Chemicals
709,CARR.PA,FR0000120172,Food & Drug Retailing
710,LECS.PA,FR0000065484,Software & IT Services
711,TTEF.PA,FR0000120271,Oil & Gas
712,GETP.PA,FR0010533075,Transport Infrastructure
713,RUBF.PA,FR0013269123,Oil & Gas
714,JCDX.PA,FR0000077919,Media & Publishing
715,ETL.PA,FR0010221234,Telecommunications Services
716,RENA.PA,FR0000131906,Automobiles & Auto Parts
717,PUBP.PA,FR0000130577,Media & Publishing
718,CLARI.PA,FR0010386334,Healthcare Providers & Services
719,VLTSA.PA,FR0011995588,Electric Utilities & IPPs
720,CHBE.PA,FR0000035164,Leisure Products
721,LOIM.PA,FR0000121964,Residential & Commercial REITs
722,ADP.PA,FR0010340141,Transport Infrastructure
723,TE.PA,NL0014559478,Oil & Gas Related Equipment and Services
724,IPAR.PA,FR0004024222,Personal & Household Products & Services
725,SCOR.PA,FR0010411983,Insurance
726,VIRB.PA,FR0000031577,Pharmaceuticals
727,TEPRF.PA,FR0000051807,Professional & Commercial Services
728,VIE.PA,FR0000124141,Multiline Utilities
729,VRLA.PA,FR0013447729,Containers & Packaging
730,XFAB.PA,BE0974310428,Semiconductors & Semiconductor Equipment
731,OREP.PA,FR0000120321,Personal & Household Products & Services
732,FDJU.PA,FR0013451333,Hotels & Entertainment Services
733,NEOEN.PA^D25,FR0011675362,Electric Utilities & IPPs
734,ALSO.PA,FR0010220475,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
735,ARGAN.PA,FR0010481960,Residential & Commercial REITs
736,PERP.PA,FR0000120693,Beverages
737,OPM.PA,FR0000124570,Automobiles & Auto Parts
738,EURA.PA,FR0000121121,Investment Banking & Investment Services
739,STMPA.PA,NL0000226223,Semiconductors & Semiconductor Equipment
740,WLN.PA,FR0011981968,Financial Technology (Fintech) & Infrastructure
741,TCFP.PA,FR0000121329,Aerospace & Defense
742,VIRI.PA,FR001400PVN6,Oil & Gas Related Equipment and Services
743,EAPI.PA,FR0014008VX5,Pharmaceuticals
744,AKE.PA,FR0010313833,Chemicals
745,CAPP.PA,FR0000125338,Software & IT Services
746,TRIA.PA,FR0005691656,Leisure Products
747,CVO.PA,FR0000064578,Residential & Commercial REITs
748,RXL.PA,FR0010451203,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
749,CBLP.PA,FR0000039620,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
750,EMEIS.PA,FR001400NLM4,Healthcare Providers & Services
751,ESSF.PA,FR0000120669,Oil & Gas
752,SGEF.PA,FR0000125486,Construction & Engineering
753,URW.PA,FR0013326246,Residential & Commercial REITs
754,NEXS.PA,FR0000044448,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
755,APAM.AS,LU0569974404,Metals & Mining
756,LTEN.PA,FR0000071946,Software & IT Services
757,VIV.PA,FR0000127771,Media & Publishing
758,IPN.PA,FR0010259150,Pharmaceuticals
759,SOIT.PA,FR0013227113,Semiconductors & Semiconductor Equipment
760,STLAM.PA,NL00150001Q9,Automobiles & Auto Parts
761,STDM.PA,FR0013154002,Healthcare Equipment & Supplies
762,BOLL.PA,FR0000039299,Media & Publishing
763,EDEN.PA,FR0010908533,Professional & Commercial Services
764,ROBF.PA,FR0000039091,Chemicals
765,BNPP.PA,FR0000131104,Banking Services
766,HRMS.PA,FR0000052292,Textiles & Apparel
767,COFA.PA,FR0010667147,Insurance
768,DANO.PA,FR0000120644,Food & Tobacco
769,VLS.PA,FR0004056851,Biotechnology & Medical Research
770,PRTP.PA,FR0000121485,Specialty Retailers
771,AYV.PA,FR0013258662,Freight & Logistics Services
772,BICP.PA,FR0000120966,Professional & Commercial Services
773,ATOS.PA,FR001400X2S4,Software & IT Services
774,ELIOR.PA,FR0011950732,Hotels & Entertainment Services
775,MICP.PA,FR001400AJ45,Automobiles & Auto Parts
776,SAF.PA,FR0000073272,Aerospace & Defense
777,RCOP.PA,FR0000130395,Beverages
778,DAST.PA,FR0014003TT8,Software & IT Services
779,ACCP.PA,FR0000120404,Hotels & Entertainment Services
780,MWDP.PA,FR0000121204,Investment Holding Companies
781,ORAN.PA,FR0000133308,Telecommunications Services
782,IDLA.PA,FR0010929125,Freight & Logistics Services
783,EUFI.PA,FR0014000MR3,Biotechnology & Medical Research
784,EXHO.PA,FR0000121220,Hotels & Entertainment Services
785,MAUP.PA,FR0000051070,Oil & Gas
786,ENX.PA,NL0006294274,Investment Banking & Investment Services
787,BVI.PA,FR0006174348,Professional & Commercial Services
788,AIRF.PA,FR001400J770,Passenger Transportation Services
789,AIRP.PA,FR0000120073,Chemicals
790,SASY.PA,FR0000120578,Pharmaceuticals
791,TFFP.PA,FR0000054900,Media & Publishing
792,CARM.PA,FR0010828137,Residential & Commercial REITs
793,ESLX.PA,FR0000121667,Healthcare Equipment & Supplies
794,AM.PA,FR0014004L86,Aerospace & Defense
795,AMUN.PA,FR0004125920,Investment Banking & Investment Services
796,AIR.PA,NL0000235190,Aerospace & Defense
797,AXAF.PA,FR0000120628,Insurance
798,GFCP.PA,FR0010040865,Residential & Commercial REITs
799,MT.AS,LU1598757687,Metals & Mining
800,ENGIE.PA,FR0010208488,Multiline Utilities
801,VU.PA,FR0010282822,Electronic Equipment & Parts
802,DBG.PA,FR0000053381,Professional & Commercial Services
803,BOUY.PA,FR0000120503,Construction & Engineering
804,VLLP.PA,FR0013506730,Oil & Gas Related Equipment and Services
805,UBIP.PA,FR0000054470,Software & IT Services
806,SEBF.PA,FR0000121709,Household Goods
807,MERY.PA,FR0010241638,Residential & Commercial REITs
808,PLX.PA,NL0015001W49,Professional & Commercial Services
809,SPIE.PA,FR0012757854,Construction & Engineering
810,GTT.PA,FR0011726835,Oil & Gas Related Equipment and Services
811,FOUG.PA,FR0000130452,Construction & Engineering
812,VLOF.PA,FR0013176526,Automobiles & Auto Parts
813,ICAD.PA,FR0000035081,Residential & Commercial REITs
814,SESFd.PA,LU0088087324,Telecommunications Services
815,ERMT.PA,FR0000131757,Metals & Mining
816,MMTP.PA,FR0000053225,Media & Publishing
817,LVMH.PA,FR0000121014,Textiles & Apparel
818,SCHN.PA,FR0000121972,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
819,ISOS.PA,FR0000073298,Media & Publishing
820,CAGR.PA,FR0000045072,Banking Services
821,SOGN.PA,FR0000130809,Banking Services
822,BIOX.PA,FR0013280286,Healthcare Equipment & Supplies
823,NEXI.PA,FR0010112524,Real Estate Operations
824,LEGD.PA,FR0010307819,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
825,SGOB.PA,FR0000125007,Homebuilding & Construction Supplies
826,ELIS.PA,FR0012435121,Professional & Commercial Services
827,FRVIA.PA,FR0000121147,Automobiles & Auto Parts
828,IMTP.PA,FR0000120859,Metals & Mining
829,SOPR.PA,FR0000050809,Software & IT Services
830,SOLB.BR,BE0003470755,Chemicals
831,CARR.PA,FR0000120172,Food & Drug Retailing
832,TTEF.PA,FR0000120271,Oil & Gas
833,GETP.PA,FR0010533075,Transport Infrastructure
834,RUBF.PA,FR0013269123,Oil & Gas
835,JCDX.PA,FR0000077919,Media & Publishing
836,RENA.PA,FR0000131906,Automobiles & Auto Parts
837,PUBP.PA,FR0000130577,Media & Publishing
838,CLARI.PA,FR0010386334,Healthcare Providers & Services
839,CHBE.PA,FR0000035164,Leisure Products
840,LOIM.PA,FR0000121964,Residential & Commercial REITs
841,ADP.PA,FR0010340141,Transport Infrastructure
842,TE.PA,NL0014559478,Oil & Gas Related Equipment and Services
843,IPAR.PA,FR0004024222,Personal & Household Products & Services
844,SCOR.PA,FR0010411983,Insurance
845,MEDCL.PA,FR0004065605,Pharmaceuticals
846,VCTP.PA,FR0000031775,Construction Materials
847,VIRB.PA,FR0000031577,Pharmaceuticals
848,TEPRF.PA,FR0000051807,Professional & Commercial Services
849,VIE.PA,FR0000124141,Multiline Utilities
850,PLNW.PA,FR001400PFU4,Software & IT Services
851,VRLA.PA,FR0013447729,Containers & Packaging
852,OREP.PA,FR0000120321,Personal & Household Products & Services
853,FDJU.PA,FR0013451333,Hotels & Entertainment Services
854,NEOEN.PA^D25,FR0011675362,Electric Utilities & IPPs
855,ALSO.PA,FR0010220475,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
856,ARGAN.PA,FR0010481960,Residential & Commercial REITs
857,PERP.PA,FR0000120693,Beverages
858,OPM.PA,FR0000124570,Automobiles & Auto Parts
859,EURA.PA,FR0000121121,Investment Banking & Investment Services
860,STMPA.PA,NL0000226223,Semiconductors & Semiconductor Equipment
861,WLN.PA,FR0011981968,Financial Technology (Fintech) & Infrastructure
862,TCFP.PA,FR0000121329,Aerospace & Defense
863,VIRI.PA,FR001400PVN6,Oil & Gas Related Equipment and Services
864,AKE.PA,FR0010313833,Chemicals
865,CAPP.PA,FR0000125338,Software & IT Services
866,BASFn.DE,DE000BASF111,Chemicals
867,IFXGn.DE,DE0006231004,Semiconductors & Semiconductor Equipment
868,SIEGn.DE,DE0007236101,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
869,EONGn.DE,DE000ENAG999,Multiline Utilities
870,DBKGn.DE,DE0005140008,Banking Services
871,SAPG.DE,DE0007164600,Software & IT Services
872,BAYGn.DE,DE000BAY0017,Pharmaceuticals
873,RWEG.DE,DE0007037129,Multiline Utilities
874,1COVG.DE,DE0006062144,Chemicals
875,HNKG_p.DE,DE0006048432,Chemicals
876,DTEGn.DE,DE0005557508,Telecommunications Services
877,LIN.DE,IE000S9YS762,Chemicals
878,MRCG.DE,DE0006599905,Pharmaceuticals
879,VOWG_p.DE,DE0007664039,Automobiles & Auto Parts
880,BMWG.DE,DE0005190003,Automobiles & Auto Parts
881,BEIG.DE,DE0005200000,Personal & Household Products & Services
882,HEIG.DE,DE0006047004,Construction Materials
883,MTXGn.DE,DE000A0D9PT0,Aerospace & Defense
884,FMEG.DE,DE0005785802,Healthcare Providers & Services
885,FREG.DE,DE0005785604,Healthcare Providers & Services
886,DHLn.DE,DE0005552004,Freight & Logistics Services
887,ALVG.DE,DE0008404005,Insurance
888,LHAG.DE,DE0008232125,Passenger Transportation Services
889,MUVGn.DE,DE0008430026,Insurance
890,CONG.DE,DE0005439004,Automobiles & Auto Parts
891,ADSGn.DE,DE000A1EWWW0,Textiles & Apparel
892,MBGn.DE,DE0007100000,Automobiles & Auto Parts
893,VNAn.DE,DE000A1ML7J1,Real Estate Operations
894,DB1Gn.DE,DE0005810055,Investment Banking & Investment Services
895,WDIG.DE^A21,DE0007472060,Professional & Commercial Services
896,DWNG.DE,DE000A0HN5C6,Real Estate Operations
897,DHER.DE,DE000A2E4K43,Software & IT Services
898,SATG_p.DE,DE0007165631,Healthcare Equipment & Supplies
899,ZALG.DE,DE000ZAL1111,Software & IT Services
900,PSHG_p.DE,DE000PAH0038,Automobiles & Auto Parts
901,HFGG.DE,DE000A161408,Food & Drug Retailing
902,SHLG.DE,DE000SHL1006,Healthcare Equipment & Supplies
903,SY1G.DE,DE000SYM9999,Chemicals
904,DHER.DE,DE000A2E4K43,Software & IT Services
905,ENR1n.DE,DE000ENER6Y0,Renewable Energy
906,MBGn.DE,DE0007100000,Automobiles & Auto Parts
907,BNRGn.DE,DE000A1DAHH0,Chemicals
908,AIRG.DE,NL0000235190,Aerospace & Defense
909,VNAn.DE,DE000A1ML7J1,Real Estate Operations
910,DB1Gn.DE,DE0005810055,Investment Banking & Investment Services
911,PUMG.DE,DE0006969603,Textiles & Apparel
912,QIA.DE,NL0015002CX3,Biotechnology & Medical Research
913,BASFn.DE,DE000BASF111,Chemicals
914,IFXGn.DE,DE0006231004,Semiconductors & Semiconductor Equipment
915,SIEGn.DE,DE0007236101,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
916,EONGn.DE,DE000ENAG999,Multiline Utilities
917,DBKGn.DE,DE0005140008,Banking Services
918,SATG_p.DE,DE0007165631,Healthcare Equipment & Supplies
919,SAPG.DE,DE0007164600,Software & IT Services
920,BAYGn.DE,DE000BAY0017,Pharmaceuticals
921,RWEG.DE,DE0007037129,Multiline Utilities
922,1COVG.DE,DE0006062144,Chemicals
923,HNKG_p.DE,DE0006048432,Chemicals
924,ZALG.DE,DE000ZAL1111,Software & IT Services
925,DTEGn.DE,DE0005557508,Telecommunications Services
926,LIN.DE,IE000S9YS762,Chemicals
927,MRCG.DE,DE0006599905,Pharmaceuticals
928,PSHG_p.DE,DE000PAH0038,Automobiles & Auto Parts
929,VOWG_p.DE,DE0007664039,Automobiles & Auto Parts
930,BMWG.DE,DE0005190003,Automobiles & Auto Parts
931,BEIG.DE,DE0005200000,Personal & Household Products & Services
932,HEIG.DE,DE0006047004,Construction Materials
933,MTXGn.DE,DE000A0D9PT0,Aerospace & Defense
934,FMEG.DE,DE0005785802,Healthcare Providers & Services
935,FREG.DE,DE0005785604,Healthcare Providers & Services
936,DHLn.DE,DE0005552004,Freight & Logistics Services
937,ALVG.DE,DE0008404005,Insurance
938,MUVGn.DE,DE0008430026,Insurance
939,CONG.DE,DE0005439004,Automobiles & Auto Parts
940,SHLG.DE,DE000SHL1006,Healthcare Equipment & Supplies
941,SY1G.DE,DE000SYM9999,Chemicals
942,ADSGn.DE,DE000A1EWWW0,Textiles & Apparel
943,HNRGn.DE,DE0008402215,Insurance
944,DTGGe.DE,DE000DTR0CK8,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
945,P911_p.DE,DE000PAG9113,Automobiles & Auto Parts
946,RHMG.DE,DE0007030009,Aerospace & Defense
947,CBKG.DE,DE000CBK1001,Banking Services
948,DTEGn.DE,DE0005557508,Telecommunications Services
949,MRCG.DE,DE0006599905,Pharmaceuticals
950,PSHG_p.DE,DE000PAH0038,Automobiles & Auto Parts
951,VOWG_p.DE,DE0007664039,Automobiles & Auto Parts
952,BMWG.DE,DE0005190003,Automobiles & Auto Parts
953,BEIG.DE,DE0005200000,Personal & Household Products & Services
954,HEIG.DE,DE0006047004,Construction Materials
955,RHMG.DE,DE0007030009,Aerospace & Defense
956,MTXGn.DE,DE000A0D9PT0,Aerospace & Defense
957,FMEG.DE,DE0005785802,Healthcare Providers & Services
958,FREG.DE,DE0005785604,Healthcare Providers & Services
959,DHLn.DE,DE0005552004,Freight & Logistics Services
960,ALVG.DE,DE0008404005,Insurance
961,MUVGn.DE,DE0008430026,Insurance
962,CONG.DE,DE0005439004,Automobiles & Auto Parts
963,SHLG.DE,DE000SHL1006,Healthcare Equipment & Supplies
964,SY1G.DE,DE000SYM9999,Chemicals
965,ADSGn.DE,DE000A1EWWW0,Textiles & Apparel
966,HNRGn.DE,DE0008402215,Insurance
967,DTGGe.DE,DE000DTR0CK8,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
968,ENR1n.DE,DE000ENER6Y0,Renewable Energy
969,MBGn.DE,DE0007100000,Automobiles & Auto Parts
970,BNRGn.DE,DE000A1DAHH0,Chemicals
971,CBKG.DE,DE000CBK1001,Banking Services
972,AIRG.DE,NL0000235190,Aerospace & Defense
973,VNAn.DE,DE000A1ML7J1,Real Estate Operations
974,DB1Gn.DE,DE0005810055,Investment Banking & Investment Services
975,QIA.DE,NL0015002CX3,Biotechnology & Medical Research
976,P911_p.DE,DE000PAG9113,Automobiles & Auto Parts
977,PRX.AS,NL0013654783,Software & IT Services
978,MT.AS,LU1598757687,Metals & Mining
979,ASRNL.AS,NL0011872643,Insurance
